,,,,,,,,,,,
Empanelled Hospital List - Maharashtra,,,,,,,,,,,
Sr No,Hospital,Location,City,District,State,Address,STD_Code,Tel_no,Status,PPN Hospital,PPN City
105,Mit Hospital & Research Institute,Sec F 4,Aurangabad,Aurangabad,Maharashtra,"N-4 Cidco, Plot No. 144, Sec. F-4",0240,2473740,Empanelled,PPN Not Applicable,Other
106,Niramay Super Speciality Balrugnalaya Pvt Ltd,Ajab Nagar,Aurangabad,Aurangabad,Maharashtra,Ajab Nagar Kranti Chowk Road,0240,2352311,Empanelled,PPN Not Applicable,Other
107,Padmavati Hospital,Chetna Nagar,Aurangabad,Aurangabad,Maharashtra,"B Wing, Gurunath Sankul, Kalda Corner, Chetna Nagar",0240,2344714,Empanelled,PPN Not Applicable,Other
108,Patwardhan Hospital,Bansilal Nagar,Aurangabad,Aurangabad,Maharashtra,"Station Road, Bansilal Nagar",0240,2335418,Empanelled,PPN Not Applicable,Other
109,Prestige Hospital,Khadkeswar,Aurangabad,Aurangabad,Maharashtra,"5-6-30, Kotwalpura, Khadkeshwar",0240,2346962,Empanelled,PPN Not Applicable,Other
110,Ruby Heart Care Centre Pvt Ltd,Savarkar Chowk,Aurangabad,Aurangabad,Maharashtra,C/O Roplekar Hospital 160-161 Tilak Nagar Veer Savarkar Chowk,0240,2335002,Empanelled,PPN Not Applicable,Other
111,Sachin Hospital,Khadkeshwar,Aurangabad,Aurangabad,Maharashtra,"Vishwa Building, Opp Anjali Cinema, Khadkeshwar",0240,2334948,Empanelled,PPN Not Applicable,Other
112,Sai Urology Hospital,Opp CADA Office,Aurangabad,Aurangabad,Maharashtra,"Plot No 1, Vishal Nagar, Gajanan Mandir Road, Opp CADA Office",0240,2452613,Empanelled,PPN Not Applicable,Other
113,Sanjeevani Childrens Hospital,Kusal Nagar,Aurangabad,Aurangabad,Maharashtra,14/15 Kushal Nagar Near Patidar Bhavan Jalna Road Behind J & K Bank,0240,2363457,Empanelled,PPN Not Applicable,Other
114,Saoji Pratishthan & Research Centre,Near Cosmos Bank,Aurangabad,Aurangabad,Maharashtra,32 Shriniketan Colony Near Cosmos Bank,0240,2331991,Empanelled,PPN Not Applicable,Other
115,Seth Nandlal Dhoot Hospital,Airport Road,Aurangabad,Aurangabad,Maharashtra,A1 /A2 MIDC Chikalthana Airport Road Aurangabad,0240,2489001,Empanelled,PPN Not Applicable,Other
116,Sumananjali Nursing Home,Cidco,Aurangabad,Aurangabad,Maharashtra,"Plot no-3, N-2 CIDCO, Airport Road",0240,2486900,Empanelled,PPN Not Applicable,Other
117,Sushila Netralay,Station Road,Aurangabad,Aurangabad,Maharashtra,"8, Bansilalnagar",0240,2321638,Empanelled,PPN Not Applicable,Other
118,Suyash Nursing Home,MGM Hospital Road,Aurangabad,Aurangabad,Maharashtra,"11, 7 Hills Colony",0240,2361001,Empanelled,PPN Not Applicable,Other
119,Tirupati Hospital Icu & Trauma Centre,MIDC Walunj,Aurangabad,Aurangabad,Maharashtra,X 278 Mahaveer Chowk Bajaj Nagar MIDC Walunj,0240,2555886,Empanelled,PPN Not Applicable,Other
120,Tirupati Netralaya & Dental Hospital,Jalna Road,Aurangabad,Aurangabad,Maharashtra,"Opposite to S.F.S., Jalna Road",0240,2356163,Empanelled,PPN Not Applicable,Other
121,United Ciigma Hospital,Opp easy mall dargha road,Aurangabad,Aurangabad,Maharashtra,"Plot 5,6,33,Survey No.10, opp. Easy mall ,Shahanoor wadi ,Darga road,Aurangabad",0240,2366666,Empanelled,PPN Not Applicable,Other
122,Vasan Eye Care Hospital,Jaln Road,Aurangabad,Aurangabad,Maharashtra,Opp Akashwani Jaln aRoad,0240,3989000,Empanelled,PPN Not Applicable,Other
123,Wadgaonkar Eye Hospital,Samarth Nagar,Aurangabad,Aurangabad,Maharashtra,"1267, Varad Ganesh Mandir Road, Below UCO Bank",0240,3292411,Empanelled,PPN Not Applicable,Other
124,Lodha Hospital,Subhash Road,Beed,Beed,Maharashtra,"Near N K Selection, Subhash Road Jalna road, AD patel sweet home Beed",02442,232132,Empanelled,PPN Not Applicable,Other
